"Date";"CampaignId";"DeviceTypeId";"CampaignName";"Clicks";"Shows";"Budget";"CampaignType";"AdNetworkType"
01.10.2020;55475273;1;"CampaignName_6";0,0;7,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;4,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
02.10.2020;50354385;1;"CampaignName_13";2,0;7,0;31,327;"TEXT_CAMPAIGN";"SEARCH"
02.10.2020;50354385;1;"CampaignName_13";2,0;4,0;47,401;"TEXT_CAMPAIGN";"SEARCH"
02.10.2020;50354385;1;"CampaignName_13";1,0;3,0;27,976;"TEXT_CAMPAIGN";"SEARCH"
02.10.2020;50354385;1;"CampaignName_13";1,0;1,0;22,196;"TEXT_CAMPAIGN";"SEARCH"
02.10.2020;50354385;1;"CampaignName_13";1,0;3,0;25,154;"TEXT_CAMPAIGN";"SEARCH"
02.10.2020;50354385;2;"CampaignName_13";6,0;10,0;116,024;"TEXT_CAMPAIGN";"SEARCH"
02.10.2020;50354385;2;"CampaignName_13";4,0;13,0;86,252;"TEXT_CAMPAIGN";"SEARCH"
02.10.2020;50354385;2;"CampaignName_13";2,0;6,0;17,75;"TEXT_CAMPAIGN";"SEARCH"
